time,open,high,low,close,Volume,Volume MA
1632484800,0.7248,0.7252,0.72408,0.72408,618,338.45
1632488400,0.72408,0.72612,0.72362,0.72562,872,369.9
1632492000,0.72562,0.72589,0.72387,0.72458,973,406.45
1632495600,0.72458,0.72575,0.72442,0.72566,513,420.4
1632499200,0.72566,0.72656,0.72554,0.72596,337,427.2
1632502800,0.72596,0.72613,0.72534,0.72538,248,438.35
1632506400,0.72538,0.72574,0.72534,0.72558,196,443.05
1632510000,0.72558,0.72566,0.72514,0.72558,183,444.65
1632513600,0.72558,0.7267,0.725,0.72544,799,457.85
1632690000,0.72544,0.72699,0.7251,0.72619,67,438.8
1632693600,0.72619,0.72628,0.72585,0.72612,154,427.4
1632697200,0.72612,0.72683,0.72599,0.72652,190,422.9
1632700800,0.72652,0.7278,0.7265,0.72764,403,434.95
1632704400,0.72764,0.72904,0.72758,0.7287,397,442.2
1632708000,0.7287,0.72894,0.72818,0.7286,232,433.65
1632711600,0.7286,0.72866,0.7276,0.72782,194,410.05
1632715200,0.72782,0.72843,0.72773,0.72819,96,389.1
1632718800,0.72819,0.72856,0.72788,0.72836,241,383.5
1632722400,0.72836,0.72874,0.72688,0.72737,560,389.7
1632726000,0.72737,0.72816,0.72626,0.7263,610,394.15
1632729600,0.7263,0.72676,0.72591,0.72623,529,389.7
1632733200,0.72623,0.72722,0.72579,0.72602,496,370.9
1632736800,0.72602,0.72682,0.72554,0.7263,392,341.85
1632740400,0.7263,0.72656,0.72498,0.72529,492,340.8
1632744000,0.72529,0.72724,0.72497,0.72663,1116,379.75
1632747600,0.72663,0.72832,0.72588,0.72808,1207,427.7
1632751200,0.72808,0.72868,0.72758,0.72814,844,460.1
1632754800,0.72814,0.7288,0.72788,0.72838,567,479.3
1632758400,0.72838,0.7291,0.72812,0.72864,259,452.3
1632762000,0.72864,0.72892,0.7285,0.7287,189,458.4
1632765600,0.7287,0.729,0.72859,0.72864,172,459.3
1632769200,0.72864,0.7294,0.72864,0.72897,180,458.8
1632772800,0.72897,0.72906,0.72864,0.72872,119,444.6
1632776400,0.72872,0.72884,0.72832,0.7287,72,428.35
1632780000,0.7287,0.72896,0.72848,0.72863,60,419.75
1632783600,0.72863,0.72863,0.72798,0.72802,98,414.95
1632787200,0.72802,0.72879,0.7268,0.72717,295,424.9
1632790800,0.72717,0.72808,0.72656,0.72798,297,427.7
1632794400,0.72798,0.72987,0.72798,0.72976,294,414.4
1632798000,0.72976,0.73067,0.72964,0.72978,257,396.75
1632801600,0.72978,0.7308,0.72968,0.73076,190,379.8
1632805200,0.73076,0.73109,0.73014,0.73095,336,371.8
1632808800,0.73095,0.73111,0.727,0.72708,749,389.65
1632812400,0.72708,0.72781,0.72636,0.72747,1032,416.65
